arrival_date,room_blabla,price_per_night,lead_time,is_holiday,is_weekend
2018-01-02,3,122.91,15,0,0
2018-01-02,3,123.53,17,0,0
2018-01-02,3,124.45,20,0,0
2018-01-02,3,125.07,22,0,0
2018-01-02,3,126.62,27,0,0
2018-01-02,3,126.93,28,0,0
2018-01-02,3,127.55,30,0,0
2018-01-02,3,128.47,33,0,0
2018-01-02,3,129.09,35,0,0
2018-01-02,3,129.4,36,0,0
2018-01-02,3,132.18,45,0,0
2018-01-02,3,134.04,51,0,0
2018-01-02,3,139.29,68,0,0
2018-01-02,3,141.15,74,0,0
2018-01-02,3,143.62,82,0,0
2018-01-02,3,158.16,129,0,0
2018-01-03,1,309.71,11,0,0
2018-01-03,1,319.15,23,0,0
2018-01-03,1,329.38,36,0,0
2018-01-03,1,334.89,43,0,0
2018-01-03,1,340.4,50,0,0
2018-01-03,1,349.85,62,0,0
2018-01-03,1,352.21,65,0,0
2018-01-03,1,355.36,69,0,0
2018-01-03,1,364.8,81,0,0
2018-01-03,2,200.11,13,0,0
2018-01-03,2,201.63,16,0,0
2018-01-03,2,202.64,18,0,0
2018-01-03,2,207.19,27,0,0
2018-01-03,2,209.22,31,0,0
2018-01-03,2,210.23,33,0,0
2018-01-03,2,211.24,35,0,0
2018-01-03,2,211.75,36,0,0
2018-01-03,2,212.25,37,0,0
2018-01-03,2,215.29,43,0,0
2018-01-03,2,215.29,43,0,0
2018-01-03,2,217.31,47,0,0
2018-01-03,2,219.84,52,0,0
2018-01-03,2,241.09,94,0,0
2018-01-03,2,248.68,109,0,0
2018-01-03,2,260.82,133,0,0
2018-01-03,3,120.74,8,0,0
2018-01-03,3,120.74,8,0,0
2018-01-03,3,120.74,8,0,0
2018-01-03,3,123.83,18,0,0
2018-01-03,3,126.93,28,0,0
2018-01-03,3,127.85,31,0,0
2018-01-03,3,129.4,36,0,0
2018-01-03,3,129.4,36,0,0
2018-01-03,3,129.71,37,0,0
2018-01-03,3,129.71,37,0,0
2018-01-03,3,131.87,44,0,0
2018-01-03,3,135.58,56,0,0
2018-01-03,3,138.37,65,0,0
2018-01-03,3,139.6,69,0,0
2018-01-03,3,140.84,73,0,0
2018-01-03,3,141.46,75,0,0
2018-01-03,3,141.77,76,0,0
2018-01-03,3,143.62,82,0,0
2018-01-03,3,146.41,91,0,0
2018-01-03,3,147.02,93,0,0
2018-01-04,1,304.2,4,0,0
2018-01-04,1,308.92,10,0,0
2018-01-04,1,318.36,22,0,0
2018-01-04,1,322.3,27,0,0
2018-01-04,1,331.74,39,0,0
2018-01-04,1,333.32,41,0,0
2018-01-04,1,341.19,51,0,0
2018-01-04,1,356.93,71,0,0
2018-01-04,1,372.67,91,0,0
2018-01-04,2,196.57,6,0,0
2018-01-04,2,197.07,7,0,0
2018-01-04,2,198.09,9,0,0
2018-01-04,2,200.61,14,0,0
2018-01-04,2,202.13,17,0,0
2018-01-04,2,202.13,17,0,0
2018-01-04,2,203.14,19,0,0
2018-01-04,2,203.65,20,0,0
2018-01-04,2,206.69,26,0,0
2018-01-04,2,210.73,34,0,0
2018-01-04,2,213.26,39,0,0
2018-01-04,2,215.79,44,0,0
2018-01-04,2,235.02,82,0,0
2018-01-04,2,240.08,92,0,0
2018-01-04,2,242.1,96,0,0
2018-01-04,2,273.98,159,0,0
2018-01-04,3,123.83,18,0,0
2018-01-04,3,124.45,20,0,0
2018-01-04,3,125.07,22,0,0
2018-01-04,3,125.69,24,0,0
2018-01-04,3,127.55,30,0,0
2018-01-04,3,127.85,31,0,0
2018-01-04,3,128.47,33,0,0
2018-01-04,3,128.78,34,0,0
2018-01-04,3,130.02,38,0,0
2018-01-04,3,130.95,41,0,0
2018-01-04,3,131.87,44,0,0
2018-01-04,3,132.18,45,0,0
2018-01-04,3,132.8,47,0,0
2018-01-04,3,133.73,50,0,0
2018-01-04,3,134.04,51,0,0
2018-01-04,3,138.68,66,0,0
2018-01-04,3,142.08,77,0,0
2018-01-04,3,147.02,93,0,0
2018-01-04,3,147.33,94,0,0
2018-01-04,3,147.95,96,0,0
2018-01-05,1,309.71,11,0,0
2018-01-05,1,311.28,13,0,0
2018-01-05,1,312.07,14,0,0
2018-01-05,1,322.3,27,0,0
2018-01-05,1,331.74,39,0,0
2018-01-05,1,334.11,42,0,0
2018-01-05,1,341.19,51,0,0
2018-01-05,1,343.55,54,0,0
2018-01-05,1,347.49,59,0,0
2018-01-05,1,351.42,64,0,0
2018-01-05,1,362.44,78,0,0
2018-01-05,2,195.05,3,0,0
2018-01-05,2,197.07,7,0,0
2018-01-05,2,202.64,18,0,0
2018-01-05,2,202.64,18,0,0
2018-01-05,2,204.16,21,0,0
2018-01-05,2,206.18,25,0,0
2018-01-05,2,208.71,30,0,0
2018-01-05,2,212.25,37,0,0
2018-01-05,2,212.76,38,0,0
2018-01-05,2,212.76,38,0,0
2018-01-05,2,215.79,44,0,0
2018-01-05,2,216.81,46,0,0
2018-01-05,2,217.82,48,0,0
2018-01-05,2,226.42,65,0,0
2018-01-05,2,226.93,66,0,0
2018-01-05,2,228.44,69,0,0
2018-01-05,2,229.45,71,0,0
2018-01-05,2,249.69,111,0,0
2018-01-05,3,119.51,4,0,0
2018-01-05,3,119.82,5,0,0
2018-01-05,3,121.05,9,0,0
2018-01-05,3,123.83,18,0,0
2018-01-05,3,125.07,22,0,0
2018-01-05,3,125.07,22,0,0
2018-01-05,3,126.0,25,0,0
2018-01-05,3,126.31,26,0,0
2018-01-05,3,126.93,28,0,0
2018-01-05,3,127.85,31,0,0
2018-01-05,3,133.73,50,0,0
2018-01-05,3,134.66,53,0,0
2018-01-05,3,134.97,54,0,0
2018-01-05,3,136.82,60,0,0
2018-01-05,3,138.68,66,0,0
2018-01-05,3,141.15,74,0,0
2018-01-05,3,144.55,85,0,0
2018-01-05,3,145.17,87,0,0
2018-01-05,3,161.56,140,0,0
2018-01-05,3,163.1,145,0,0
2018-01-06,1,380.93,5,1,1
2018-01-06,1,393.7,18,1,1
2018-01-06,1,398.62,23,1,1
2018-01-06,1,399.6,24,1,1
2018-01-06,1,406.48,31,1,1
2018-01-06,1,407.47,32,1,1
2018-01-06,1,421.23,46,1,1
2018-01-06,1,422.21,47,1,1
2018-01-06,1,427.13,52,1,1
2018-01-06,1,433.03,58,1,1
2018-01-06,1,438.92,64,1,1
2018-01-06,1,473.33,99,1,1
2018-01-06,1,478.25,104,1,1
2018-01-06,2,245.51,6,1,1
2018-01-06,2,250.57,14,1,1
2018-01-06,2,251.2,15,1,1
2018-01-06,2,251.83,16,1,1
2018-01-06,2,253.73,19,1,1
2018-01-06,2,256.26,23,1,1
2018-01-06,2,257.52,25,1,1
2018-01-06,2,261.94,32,1,1
2018-01-06,2,267.0,40,1,1
2018-01-06,2,268.89,43,1,1
2018-01-06,2,269.53,44,1,1
2018-01-06,2,276.48,55,1,1
2018-01-06,2,283.43,66,1,1
2018-01-06,2,283.43,66,1,1
2018-01-06,2,289.75,76,1,1
2018-01-06,2,291.64,79,1,1
2018-01-06,2,294.8,84,1,1
2018-01-06,2,309.34,107,1,1
2018-01-06,2,319.45,123,1,1
2018-01-06,2,323.87,130,1,1
2018-01-06,3,152.35,12,1,1
2018-01-06,3,152.74,13,1,1
2018-01-06,3,154.67,18,1,1
2018-01-06,3,155.06,19,1,1
2018-01-06,3,156.21,22,1,1
2018-01-06,3,156.6,23,1,1
2018-01-06,3,158.92,29,1,1
2018-01-06,3,159.69,31,1,1
2018-01-06,3,162.01,37,1,1
2018-01-06,3,162.01,37,1,1
2018-01-06,3,162.39,38,1,1
2018-01-06,3,162.39,38,1,1
2018-01-06,3,162.39,38,1,1
2018-01-06,3,168.57,54,1,1
2018-01-06,3,170.12,58,1,1
2018-01-06,3,173.21,66,1,1
2018-01-06,3,176.3,74,1,1
2018-01-06,3,176.68,75,1,1
2018-01-06,3,178.61,80,1,1
2018-01-06,3,195.22,123,1,1
2018-01-07,1,357.61,16,0,1
2018-01-07,1,358.5,17,0,1
2018-01-07,1,360.3,19,0,1
2018-01-07,1,362.09,21,0,1
2018-01-07,1,366.58,26,0,1
2018-01-07,1,369.27,29,0,1
2018-01-07,1,376.45,37,0,1
2018-01-07,1,380.94,42,0,1
2018-01-07,1,384.53,46,0,1
2018-01-07,1,389.01,51,0,1
2018-01-07,1,404.27,68,0,1
2018-01-07,1,409.65,74,0,1
2018-01-07,1,422.22,88,0,1
2018-01-07,1,431.19,98,0,1
2018-01-07,1,523.62,201,0,1
2018-01-07,2,226.43,10,0,1
2018-01-07,2,227.01,11,0,1
2018-01-07,2,229.31,15,0,1
2018-01-07,2,229.89,16,0,1
2018-01-07,2,233.35,22,0,1
2018-01-07,2,233.93,23,0,1
2018-01-07,2,234.51,24,0,1
2018-01-07,2,238.54,31,0,1
2018-01-07,2,239.7,33,0,1
2018-01-07,2,239.7,33,0,1
2018-01-07,2,244.31,41,0,1
2018-01-07,2,244.89,42,0,1
2018-01-07,2,248.93,49,0,1
2018-01-07,2,249.5,50,0,1
2018-01-07,2,250.08,51,0,1
2018-01-07,2,254.7,59,0,1
2018-01-07,2,257.0,63,0,1
2018-01-07,2,265.08,77,0,1
2018-01-07,2,266.81,80,0,1
2018-01-07,2,272.0,89,0,1
2018-01-07,3,135.55,2,0,1
2018-01-07,3,136.96,6,0,1
2018-01-07,3,139.08,12,0,1
2018-01-07,3,139.08,12,0,1
2018-01-07,3,141.55,19,0,1
2018-01-07,3,141.9,20,0,1
2018-01-07,3,143.31,24,0,1
2018-01-07,3,144.01,26,0,1
2018-01-07,3,144.37,27,0,1
2018-01-07,3,144.72,28,0,1
2018-01-07,3,146.83,34,0,1
2018-01-07,3,151.06,46,0,1
2018-01-07,3,153.88,54,0,1
2018-01-07,3,154.24,55,0,1
2018-01-07,3,155.3,58,0,1
2018-01-07,3,161.29,75,0,1
2018-01-07,3,162.7,79,0,1
2018-01-07,3,167.63,93,0,1
2018-01-07,3,173.98,111,0,1
2018-01-07,3,187.02,148,0,1
2018-01-08,1,308.13,9,0,0
2018-01-08,1,308.92,10,0,0
2018-01-08,1,319.94,24,0,0
2018-01-08,1,323.87,29,0,0
2018-01-08,1,330.96,38,0,0
2018-01-08,1,339.61,49,0,0
2018-01-08,1,340.4,50,0,0
2018-01-08,1,371.88,90,0,0
2018-01-08,2,197.58,8,0,0
2018-01-08,2,200.11,13,0,0
2018-01-08,2,204.16,21,0,0
2018-01-08,2,206.18,25,0,0
2018-01-08,2,207.19,27,0,0
2018-01-08,2,213.26,39,0,0
2018-01-08,2,213.77,40,0,0
2018-01-08,2,214.28,41,0,0
2018-01-08,2,216.3,45,0,0
2018-01-08,2,220.85,54,0,0
2018-01-08,2,221.36,55,0,0
2018-01-08,2,222.37,57,0,0
2018-01-08,2,228.95,70,0,0
2018-01-08,3,119.2,3,0,0
2018-01-08,3,123.53,17,0,0
2018-01-08,3,123.83,18,0,0
2018-01-08,3,125.07,22,0,0
2018-01-08,3,125.69,24,0,0
2018-01-08,3,127.24,29,0,0
2018-01-08,3,127.85,31,0,0
2018-01-08,3,129.71,37,0,0
2018-01-08,3,130.33,39,0,0
2018-01-08,3,130.64,40,0,0
2018-01-08,3,130.64,40,0,0
2018-01-08,3,130.95,41,0,0
2018-01-08,3,132.49,46,0,0
2018-01-08,3,132.8,47,0,0
2018-01-08,3,135.58,56,0,0
2018-01-08,3,136.2,58,0,0
2018-01-08,3,137.13,61,0,0
2018-01-08,3,140.84,73,0,0
2018-01-08,3,142.08,77,0,0
2018-01-08,3,145.17,87,0,0
2018-01-09,1,312.07,14,0,0
2018-01-09,1,313.64,16,0,0
2018-01-09,1,322.3,27,0,0
2018-01-09,1,326.23,32,0,0
2018-01-09,1,330.17,37,0,0
2018-01-09,1,341.19,51,0,0
2018-01-09,1,347.49,59,0,0
2018-01-09,1,360.87,76,0,0
2018-01-09,1,363.23,79,0,0
2018-01-09,2,193.53,0,0,0
2018-01-09,2,197.58,8,0,0
2018-01-09,2,198.59,10,0,0
2018-01-09,2,199.1,11,0,0
2018-01-09,2,201.63,16,0,0
2018-01-09,2,207.7,28,0,0
2018-01-09,2,208.71,30,0,0
2018-01-09,2,212.25,37,0,0
2018-01-09,2,213.26,39,0,0
2018-01-09,2,214.28,41,0,0
2018-01-09,2,220.35,53,0,0
2018-01-09,2,220.85,54,0,0
2018-01-09,2,221.87,56,0,0
2018-01-09,2,228.95,70,0,0
2018-01-09,2,245.65,103,0,0
2018-01-09,2,266.9,145,0,0
2018-01-09,3,119.82,5,0,0
2018-01-09,3,120.12,6,0,0
2018-01-09,3,121.67,11,0,0
2018-01-09,3,123.53,17,0,0
2018-01-09,3,123.53,17,0,0
2018-01-09,3,123.83,18,0,0
2018-01-09,3,123.83,18,0,0
2018-01-09,3,124.45,20,0,0
2018-01-09,3,124.76,21,0,0
2018-01-09,3,126.93,28,0,0
2018-01-09,3,128.16,32,0,0
2018-01-09,3,129.09,35,0,0
2018-01-09,3,129.09,35,0,0
2018-01-09,3,131.87,44,0,0
2018-01-09,3,132.49,46,0,0
2018-01-09,3,134.97,54,0,0
2018-01-09,3,135.89,57,0,0
2018-01-09,3,142.7,79,0,0
2018-01-09,3,161.25,139,0,0
2018-01-09,3,162.18,142,0,0
2018-01-10,1,308.92,10,0,0
2018-01-10,1,309.71,11,0,0
2018-01-10,1,311.28,13,0,0
2018-01-10,1,326.23,32,0,0
2018-01-10,1,331.74,39,0,0
2018-01-10,1,364.8,81,0,0
2018-01-10,1,365.59,82,0,0
2018-01-10,1,380.54,101,0,0
2018-01-10,1,446.65,185,0,0
2018-01-10,2,197.58,8,0,0
2018-01-10,2,200.11,13,0,0
2018-01-10,2,200.11,13,0,0
2018-01-10,2,203.65,20,0,0
2018-01-10,2,207.19,27,0,0
2018-01-10,2,209.22,31,0,0
2018-01-10,2,210.23,33,0,0
2018-01-10,2,219.34,51,0,0
2018-01-10,2,220.85,54,0,0
2018-01-10,2,220.85,54,0,0
2018-01-10,2,224.4,61,0,0
2018-01-10,2,239.57,91,0,0
2018-01-10,2,242.1,96,0,0
2018-01-10,2,243.12,98,0,0
2018-01-10,2,248.68,109,0,0
2018-01-10,3,119.51,4,0,0
2018-01-10,3,119.82,5,0,0
2018-01-10,3,120.12,6,0,0
2018-01-10,3,120.74,8,0,0
2018-01-10,3,121.98,12,0,0
2018-01-10,3,124.14,19,0,0
2018-01-10,3,127.55,30,0,0
2018-01-10,3,130.02,38,0,0
2018-01-10,3,130.64,40,0,0
2018-01-10,3,131.26,42,0,0
2018-01-10,3,132.49,46,0,0
2018-01-10,3,132.8,47,0,0
2018-01-10,3,133.11,48,0,0
2018-01-10,3,134.35,52,0,0
2018-01-10,3,134.35,52,0,0
2018-01-10,3,137.13,61,0,0
2018-01-10,3,142.08,77,0,0
2018-01-10,3,143.93,83,0,0
2018-01-10,3,149.81,102,0,0
2018-01-10,3,152.59,111,0,0
2018-01-11,1,310.49,12,0,0
2018-01-11,1,310.49,12,0,0
2018-01-11,1,326.23,32,0,0
2018-01-11,1,328.6,35,0,0
2018-01-11,1,330.17,37,0,0
2018-01-11,1,334.89,43,0,0
2018-01-11,1,344.34,55,0,0
2018-01-11,2,200.11,13,0,0
2018-01-11,2,202.13,17,0,0
2018-01-11,2,208.2,29,0,0
2018-01-11,2,209.72,32,0,0
2018-01-11,2,212.25,37,0,0
2018-01-11,2,212.76,38,0,0
2018-01-11,2,217.31,47,0,0
2018-01-11,2,223.38,59,0,0
2018-01-11,2,234.01,80,0,0
2018-01-11,2,239.57,91,0,0
2018-01-11,2,253.24,118,0,0
2018-01-11,2,253.24,118,0,0
2018-01-11,3,118.89,2,0,0
2018-01-11,3,121.67,11,0,0
2018-01-11,3,122.29,13,0,0
2018-01-11,3,123.22,16,0,0
2018-01-11,3,123.53,17,0,0
2018-01-11,3,124.45,20,0,0
2018-01-11,3,124.76,21,0,0
2018-01-11,3,126.0,25,0,0
2018-01-11,3,126.0,25,0,0
2018-01-11,3,128.16,32,0,0
2018-01-11,3,128.78,34,0,0
2018-01-11,3,130.33,39,0,0
2018-01-11,3,131.56,43,0,0
2018-01-11,3,132.18,45,0,0
2018-01-11,3,134.35,52,0,0
2018-01-11,3,143.01,80,0,0
2018-01-11,3,143.62,82,0,0
2018-01-11,3,160.01,135,0,0
2018-01-11,3,162.79,144,0,0
2018-01-12,1,321.51,26,0,0
2018-01-12,1,323.09,28,0,0
2018-01-12,1,336.47,45,0,0
2018-01-12,1,338.83,48,0,0
2018-01-12,1,342.76,53,0,0
2018-01-12,1,349.06,61,0,0
2018-01-12,1,352.21,65,0,0
2018-01-12,1,352.21,65,0,0
2018-01-12,1,361.65,77,0,0
2018-01-12,1,375.03,94,0,0
2018-01-12,2,195.05,3,0,0
2018-01-12,2,199.6,12,0,0
2018-01-12,2,202.13,17,0,0
2018-01-12,2,202.64,18,0,0
2018-01-12,2,202.64,18,0,0
2018-01-12,2,204.16,21,0,0
2018-01-12,2,213.26,39,0,0
2018-01-12,2,221.36,55,0,0
2018-01-12,2,223.89,60,0,0
2018-01-12,2,224.4,61,0,0
2018-01-12,2,227.43,67,0,0
2018-01-12,2,227.94,68,0,0
2018-01-12,2,230.97,74,0,0
2018-01-12,2,232.49,77,0,0
2018-01-12,2,254.75,121,0,0
2018-01-12,2,257.28,126,0,0
2018-01-12,3,120.12,6,0,0
2018-01-12,3,120.74,8,0,0
2018-01-12,3,121.05,9,0,0
2018-01-12,3,121.36,10,0,0
2018-01-12,3,121.98,12,0,0
2018-01-12,3,121.98,12,0,0
2018-01-12,3,122.91,15,0,0
2018-01-12,3,123.22,16,0,0
2018-01-12,3,123.83,18,0,0
2018-01-12,3,123.83,18,0,0
2018-01-12,3,125.69,24,0,0
2018-01-12,3,126.0,25,0,0
2018-01-12,3,126.31,26,0,0
2018-01-12,3,127.24,29,0,0
2018-01-12,3,131.87,44,0,0
2018-01-12,3,137.13,61,0,0
2018-01-12,3,141.46,75,0,0
2018-01-12,3,142.7,79,0,0
2018-01-12,3,143.93,83,0,0
2018-01-12,3,159.39,133,0,0
2018-01-13,1,350.43,8,0,1
2018-01-13,1,359.4,18,0,1
2018-01-13,1,360.3,19,0,1
2018-01-13,1,370.17,30,0,1
2018-01-13,1,370.17,30,0,1
2018-01-13,1,371.96,32,0,1
2018-01-13,1,380.94,42,0,1
2018-01-13,1,392.6,55,0,1
2018-01-13,1,405.17,69,0,1
2018-01-13,1,427.6,94,0,1
2018-01-13,2,222.39,3,0,1
2018-01-13,2,222.97,4,0,1
2018-01-13,2,225.85,9,0,1
2018-01-13,2,229.89,16,0,1
2018-01-13,2,235.08,25,0,1
2018-01-13,2,235.08,25,0,1
2018-01-13,2,238.54,31,0,1
2018-01-13,2,240.85,35,0,1
2018-01-13,2,244.31,41,0,1
2018-01-13,2,246.62,45,0,1
2018-01-13,2,247.77,47,0,1
2018-01-13,2,257.58,64,0,1
2018-01-13,2,259.89,68,0,1
2018-01-13,2,259.89,68,0,1
2018-01-13,2,276.62,97,0,1
2018-01-13,2,313.54,161,0,1
2018-01-13,3,136.26,4,0,1
2018-01-13,3,138.02,9,0,1
2018-01-13,3,138.37,10,0,1
2018-01-13,3,139.78,14,0,1
2018-01-13,3,140.49,16,0,1
2018-01-13,3,141.19,18,0,1
2018-01-13,3,141.55,19,0,1
2018-01-13,3,142.96,23,0,1
2018-01-13,3,143.31,24,0,1
2018-01-13,3,143.66,25,0,1
2018-01-13,3,144.37,27,0,1
2018-01-13,3,146.13,32,0,1
2018-01-13,3,148.6,39,0,1
2018-01-13,3,149.3,41,0,1
2018-01-13,3,151.06,46,0,1
2018-01-13,3,151.42,47,0,1
2018-01-13,3,152.83,51,0,1
2018-01-13,3,158.12,66,0,1
2018-01-13,3,161.99,77,0,1
2018-01-13,3,170.81,102,0,1
2018-01-14,1,349.53,7,0,1
2018-01-14,1,357.61,16,0,1
2018-01-14,1,358.5,17,0,1
2018-01-14,1,362.99,22,0,1
2018-01-14,1,362.99,22,0,1
2018-01-14,1,374.66,35,0,1
2018-01-14,1,375.55,36,0,1
2018-01-14,1,387.22,49,0,1
2018-01-14,1,395.3,58,0,1
2018-01-14,1,409.65,74,0,1
2018-01-14,1,537.08,216,0,1
2018-01-14,2,224.12,6,0,1
2018-01-14,2,224.7,7,0,1
2018-01-14,2,225.27,8,0,1
2018-01-14,2,225.85,9,0,1
2018-01-14,2,227.58,12,0,1
2018-01-14,2,229.89,16,0,1
2018-01-14,2,232.77,21,0,1
2018-01-14,2,233.35,22,0,1
2018-01-14,2,234.51,24,0,1
2018-01-14,2,235.08,25,0,1
2018-01-14,2,235.08,25,0,1
2018-01-14,2,236.24,27,0,1
2018-01-14,2,242.0,37,0,1
2018-01-14,2,242.0,37,0,1
2018-01-14,2,242.58,38,0,1
2018-01-14,2,248.35,48,0,1
2018-01-14,2,250.66,52,0,1
2018-01-14,2,277.19,98,0,1
2018-01-14,2,314.69,163,0,1
2018-01-14,3,135.91,3,0,1
2018-01-14,3,138.37,10,0,1
2018-01-14,3,138.37,10,0,1
2018-01-14,3,138.73,11,0,1
2018-01-14,3,139.43,13,0,1
2018-01-14,3,139.43,13,0,1
2018-01-14,3,143.31,24,0,1
2018-01-14,3,144.01,26,0,1
2018-01-14,3,145.42,30,0,1
2018-01-14,3,146.48,33,0,1
2018-01-14,3,148.95,40,0,1
2018-01-14,3,151.06,46,0,1
2018-01-14,3,152.83,51,0,1
2018-01-14,3,156.35,61,0,1
2018-01-14,3,156.71,62,0,1
2018-01-14,3,157.06,63,0,1
2018-01-14,3,157.41,64,0,1
2018-01-14,3,159.53,70,0,1
2018-01-14,3,160.58,73,0,1
2018-01-14,3,163.76,82,0,1
2018-01-15,1,307.35,8,0,0
2018-01-15,1,308.92,10,0,0
2018-01-15,1,326.23,32,0,0
2018-01-15,1,329.38,36,0,0
2018-01-15,1,341.19,51,0,0
2018-01-15,1,359.29,74,0,0
2018-01-15,1,375.03,94,0,0
2018-01-15,1,426.98,160,0,0
2018-01-15,2,198.09,9,0,0
2018-01-15,2,210.73,34,0,0
2018-01-15,2,213.26,39,0,0
2018-01-15,2,214.78,42,0,0
2018-01-15,2,216.3,45,0,0
2018-01-15,2,216.81,46,0,0
2018-01-15,2,217.82,48,0,0
2018-01-15,2,218.32,49,0,0
2018-01-15,2,218.83,50,0,0
2018-01-15,2,228.95,70,0,0
2018-01-15,2,234.51,81,0,0
2018-01-15,2,238.06,88,0,0
2018-01-15,2,242.1,96,0,0
2018-01-15,2,249.19,110,0,0
2018-01-15,3,118.89,2,0,0
2018-01-15,3,119.2,3,0,0
2018-01-15,3,120.74,8,0,0
2018-01-15,3,120.74,8,0,0
2018-01-15,3,121.36,10,0,0
2018-01-15,3,121.67,11,0,0
2018-01-15,3,122.91,15,0,0
2018-01-15,3,126.0,25,0,0
2018-01-15,3,126.93,28,0,0
2018-01-15,3,127.85,31,0,0
2018-01-15,3,130.33,39,0,0
2018-01-15,3,132.8,47,0,0
2018-01-15,3,133.73,50,0,0
2018-01-15,3,139.6,69,0,0
2018-01-15,3,141.46,75,0,0
2018-01-15,3,141.46,75,0,0
2018-01-15,3,142.08,77,0,0
2018-01-15,3,151.04,106,0,0
2018-01-15,3,156.61,124,0,0
2018-01-15,3,168.98,164,0,0
2018-01-16,1,304.2,4,0,0
2018-01-16,1,323.87,29,0,0
2018-01-16,1,328.6,35,0,0
2018-01-16,1,328.6,35,0,0
2018-01-16,1,332.53,40,0,0
2018-01-16,1,340.4,50,0,0
2018-01-16,1,384.48,106,0,0
2018-01-16,1,385.26,107,0,0
2018-01-16,1,394.71,119,0,0
2018-01-16,2,197.07,7,0,0
2018-01-16,2,197.07,7,0,0
2018-01-16,2,201.63,16,0,0
2018-01-16,2,201.63,16,0,0
2018-01-16,2,204.16,21,0,0
2018-01-16,2,211.75,36,0,0
2018-01-16,2,212.25,37,0,0
2018-01-16,2,215.29,43,0,0
2018-01-16,2,217.31,47,0,0
2018-01-16,2,218.32,49,0,0
2018-01-16,2,221.36,55,0,0
2018-01-16,2,222.88,58,0,0
2018-01-16,2,228.44,69,0,0
2018-01-16,2,234.01,80,0,0
2018-01-16,2,255.77,123,0,0
2018-01-16,3,122.29,13,0,0
2018-01-16,3,122.29,13,0,0
2018-01-16,3,122.6,14,0,0
2018-01-16,3,122.91,15,0,0
2018-01-16,3,123.53,17,0,0
2018-01-16,3,124.45,20,0,0
2018-01-16,3,124.45,20,0,0
2018-01-16,3,127.55,30,0,0
2018-01-16,3,127.85,31,0,0
